Location,Address,Full Address,City,City Name,Latitude,Latitude Value,Longitude,Longitude Value,Labels,Label 1,Label 2,Label 3,Label 4,Full Labels,Coupon,Coupon String,Company,Company Name,ID,ID Key,Used,Used State
Location,Address,13-15 Maverick Sq,City, East Boston,Latitude,42.369062,Longitude,-71.039333,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,18431,Used,0
Location,Address,715 Boylston St,City, Boston,Latitude,42.349561,Longitude,-71.079929,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts,Company,Dunkin,ID,81723,Used,0
Location,Address,951 Bennington St,City, East Boston,Latitude,42.385928,Longitude,-71.008314,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,80090,Used,0
Location,Address,283 Huntington Ave,City, Boston,Latitude,42.341812,Longitude,-71.086396,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,62388,Used,0
Location,Address,80 Boylston St,City, Boston,Latitude,42.352247,Longitude,-71.064689,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,57441,Used,0
Location,Address,176 Federal St,City, Boston,Latitude,42.353354,Longitude,-71.056307,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,61928,Used,0
Location,Address,1 Congress St,City, Boston,Latitude,42.362705,Longitude,-71.058257,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,75279,Used,0
Location,Address,750 Washington St,City, Boston,Latitude,42.349631,Longitude,-71.063564,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,58271,Used,0
Location,Address,510 Southampton St,City, Boston,Latitude,42.329686,Longitude,-71.057525,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,87795,Used,0
Location,Address,1131 Tremont St,City, Boston,Latitude,42.335213,Longitude,-71.088276,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,23432,Used,0
Location,Address,153 Massachusetts Ave,City, Boston,Latitude,42.346557,Longitude,-71.087313,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts,Company,Dunkin,ID,69788,Used,0
Location,Address,2 City Hall Sq,City, Boston,Latitude,42.358863,Longitude,-71.059675,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm,Company,Dunkin,ID,99554,Used,0
